renovation,area,city,floor,kitchen_area,balconies,rooms,house_floors,house_wall_type,lifts,price
косметический,30.0,Новосибирск,9,5.5,1,1,9,Панельный,1,2749980.0
,34.0,Новосибирск,5,9.0,0,1,9,Кирпичный,1,2749988.0
,31.0,Новосибирск,6,9.0,1,1,9,Панельный,1,2929996.0
,43.9,Новосибирск,2,5.9,1,2,5,Панельный,0,3499971.4
,45.42,Новосибирск,3,18.67,0,1,9,Кирпичный,0,2724972.9
косметический,44.0,Новосибирск,1,6.0,0,2,5,Панельный,0,3699960.0
Косметический,42.5,Новосибирск,2,6.0,1,2,4,Кирпичный,0,3749987.5
Косметический,45.0,Новосибирск,1,30.0,0,2,5,Панельный,0,3799980.0
Косметический,31.6,Новосибирск,5,6.0,0,1,5,Кирпичный,0,3299988.0
косметический,31.8,Новосибирск,5,6.0,0,1,5,Кирпичный,0,3199970.4
косметический,30.0,Новосибирск,8,5.0,1,1,9,Панельный,0,2899980.0
,43.0,Новосибирск,3,6.0,1,2,5,Панельный,0,3699978.0
Косметический,44.0,Новосибирск,1,7.0,0,2,5,Панельный,0,3689972.0
Косметический,29.5,Новосибирск,4,0.0,0,1,5,Кирпичный,0,3149980.5
,29.1,Новосибирск,2,6.0,1,1,5,Панельный,0,3259985.7
Хороший,43.5,Новосибирск,4,6.0,1,2,5,Панельный,0,3609978.0
,43.8,Новосибирск,4,5.9,1,2,5,Кирпичный,0,3599965.8
,29.0,Новосибирск,1,6.0,0,1,5,Кирпичный,0,3249972.0
Косметический,45.0,Новосибирск,5,5.0,1,2,5,Панельный,0,3399975.0
Косметический,46.0,Новосибирск,5,6.0,1,2,5,Панельный,0,3399998.0
Косметический,43.1,Новосибирск,5,5.0,1,2,5,Панельный,0,3499978.6
Косметический,31.1,Новосибирск,1,6.0,0,1,4,Кирпичный,0,3199972.3000000003
,31.1,Новосибирск,2,6.0,1,1,5,Кирпичный,0,3199972.3000000003
,29.0,Новосибирск,2,5.8,1,1,5,Панельный,0,3149980.0
,43.7,Новосибирск,5,6.0,1,2,5,Панельный,0,3198971.1
,44.8,Новосибирск,5,6.0,1,2,5,Кирпичный,0,3349964.8
Требует ремонта,32.4,Новосибирск,1,6.0,0,1,5,Кирпичный,0,3199986.0
Косметический,28.0,Новосибирск,1,4.0,0,1,3,Блочный,0,3099992.0
,33.5,Новосибирск,2,6.0,1,1,5,Кирпичный,0,3049974.0
,33.3,Новосибирск,3,6.5,0,1,5,Кирпичный,0,2959970.4
,44.0,Новосибирск,4,6.0,0,2,5,Кирпичный,0,3275976.0
Требует ремонта,43.7,Новосибирск,5,5.6,1,2,5,Панельный,0,3549969.5
Без ремонта,32.1,Новосибирск,1,6.0,0,1,5,Панельный,0,3199984.8000000003
Частичный ремонт,30.0,Новосибирск,3,6.0,1,1,5,Панельный,0,3000000.0
,34.6,Новосибирск,3,4.0,1,1,3,Кирпичный,0,3899973.6
Косметический,29.0,Новосибирск,5,6.0,1,1,5,Панельный,1,2999992.0
косметический,31.0,Новосибирск,2,6.0,0,1,5,Кирпичный,0,3899986.0
,32.0,Новосибирск,3,6.2,0,1,5,Кирпичный,0,3800000.0
С отделкой,28.4,Новосибирск,3,6.0,0,1,5,Кирпичный,0,3699980.4
Косметический,34.7,Новосибирск,2,7.0,1,1,3,Кирпичный,0,3799997.0000000005
Требует ремонта,36.77,Казань,9,10.03,1,1,9,Кирпично-монолитный,1,7299984.870000001
,31.0,Новосибирск,3,6.0,1,1,5,Кирпичный,0,3489980.0
Требует ремонта,31.0,Новосибирск,2,6.1,1,1,5,Кирпичный,0,3789998.0
,43.3,Казань,8,10.0,1,1,10,Кирпичный,1,7099987.6
,32.0,Казань,8,9.4,1,1,9,Кирпичный,0,7049984.0
хорошее,30.0,Новосибирск,1,6.0,0,1,5,Панельный,0,3669990.0
Косметический,31.1,Новосибирск,3,6.0,1,1,5,Кирпичный,0,3349998.7
,37.7,Новосибирск,3,10.0,0,1,3,Монолитный,0,3399974.5000000005
,46.7,Казань,8,13.0,1,1,10,Кирпичный,0,6899971.7
Без ремонта,22.0,Новосибирск,1,5.0,0,1,5,Кирпичный,0,3549986.0
Дизайнерский,46.1,Казань,8,9.0,1,1,10,Кирпичный,1,6949989.9
Без ремонта,37.8,Новосибирск,3,0.0,1,1,3,Кирпичный,0,3392965.8
,28.4,Новосибирск,1,6.0,1,1,5,Кирпичный,0,3499987.5999999996
,42.6,Казань,9,13.6,1,1,10,Кирпичный,0,6700000.2
косметический,46.5,Казань,9,13.23,0,1,10,Кирпичный,1,6899995.5
Косметический,28.8,Новосибирск,1,5.7,0,1,5,Панельный,0,3333312.0
косметический,45.1,Казань,8,12.9,0,1,9,Кирпичный,1,6899984.3
Косметический,29.0,Новосибирск,1,5.0,0,1,5,Панельный,0,3629988.0
Без ремонта,48.0,Казань,10,14.0,1,1,10,Кирпичный,1,6799968.0
,28.2,Новосибирск,1,5.9,0,1,5,Панельный,0,3499986.6
,44.7,Казань,9,13.2,1,1,10,Кирпичный,0,6949956.0
,29.2,Новосибирск,2,5.0,1,1,5,Кирпичный,0,3599980.4
Без ремонта,28.6,Новосибирск,2,6.1,1,1,5,Панельный,0,3349975.2
,21.7,Новосибирск,1,5.0,0,1,5,Кирпичный,0,3599986.6
Требует ремонта,28.9,Новосибирск,1,6.3,0,1,5,Кирпичный,0,3349972.4
косметический,33.0,Казань,6,5.0,1,1,10,Кирпичный,1,6600000.0
,30.4,Новосибирск,2,5.9,1,1,5,Кирпичный,0,3349988.8
Косметический,30.2,Новосибирск,3,6.0,1,1,5,Панельный,0,3499998.8
Требуется,40.7,Казань,6,15.6,1,1,9,Кирпичный,0,6649973.0
Косметический,37.0,Казань,5,9.0,1,1,10,Кирпичный,1,6499975.0
,36.0,Казань,6,10.8,1,1,10,Кирпичный,0,6399972.0
,39.9,Казань,10,13.1,0,1,11,Железобетон,0,6798999.899999999
,33.0,Казань,6,5.0,1,1,10,Кирпичный,0,6399987.0
,34.23,Казань,5,9.44,1,1,11,Кирпично-монолитный,0,6399983.1
,42.0,Казань,5,10.98,1,1,10,Кирпичный,0,6599964.0
Дизайнерский,36.0,Казань,7,10.0,0,1,10,Кирпичный,1,6179976.0
,35.2,Казань,5,9.6,1,1,9,Кирпичный,0,6299990.4
Требует ремонта,34.0,Казань,5,8.0,0,1,10,Кирпичный,1,6549998.0
Требуется,31.0,Казань,6,9.0,1,1,9,Кирпичный,0,6189987.0
,37.5,Казань,8,11.0,1,1,10,Кирпичный,0,5989987.5
,36.0,Казань,6,9.8,1,1,10,Кирпичный,0,6109992.0
,34.0,Казань,4,10.0,0,1,9,Монолитный,0,6199968.0
,31.9,Казань,10,16.0,1,1,12,Кирпично-монолитный,0,5948999.1
,34.3,Казань,6,9.5,1,1,10,Кирпичный,0,5906974.499999999
,39.0,Казань,6,0.0,0,1,10,Панельный,0,5850000.0
,31.8,Казань,4,9.6,1,1,10,Кирпичный,0,6399972.600000001
,36.6,Казань,10,9.1,0,1,10,Панельный,0,5799965.4
Косметический,38.5,Казань,7,9.1,0,1,10,Кирпичный,0,5699963.5
Косметический,53.0,Казань,4,8.4,0,1,10,Панельный,0,6199993.0
,36.4,Казань,7,8.0,0,1,9,Кирпичный,0,5699985.2
,39.0,Казань,6,8.0,0,1,9,Панельный,1,5549973.0
Косметический,33.9,Казань,8,7.3,0,1,9,Панельный,0,5599974.899999999
,54.4,Казань,3,14.6,0,1,10,Иные,0,6149974.399999999
Косметический,34.2,Казань,6,8.0,1,1,9,Панельный,1,5399974.800000001
,35.0,Казань,6,8.0,1,1,10,Панельный,1,5349995.0
,44.0,Казань,1,17.0,1,1,9,Кирпичный,0,6099984.0
,34.0,Казань,7,9.0,1,1,9,Блочный,1,5599970.0
,35.0,Казань,6,7.9,0,1,9,Иные,0,5399975.0
косметический,35.6,Казань,6,8.1,0,1,9,Кирпичный,1,5199878.4
,38.29,Казань,2,9.1,1,1,10,Панельный,1,6099979.899999999
косметический,38.0,Казань,2,9.0,0,1,9,Панельный,1,5949964.0
Косметический,35.0,Казань,8,8.0,1,1,10,Панельный,1,4849985.0
,31.6,Казань,9,8.0,1,1,10,Блочный,0,4998993.600000001
косметический,42.3,Казань,1,13.0,0,1,10,Панельный,1,5849963.1
,33.9,Казань,1,8.0,1,1,10,Кирпичный,0,5999994.899999999
,36.4,Казань,2,7.0,1,1,9,Блочный,1,5842964.399999999
,36.5,Казань,8,9.0,1,1,9,Блочный,1,4899979.0
,33.5,Казань,9,8.0,0,1,9,Иные,0,4749998.5
Косметический,32.9,Казань,2,8.0,1,1,9,Панельный,0,5789972.3
косметический,36.5,Казань,1,6.2,1,1,9,Панельный,1,5599976.0
косметический,33.0,Казань,3,7.4,1,1,9,Панельный,1,5599968.0
,37.1,Казань,1,0.0,0,1,10,Панельный,1,5499963.7
косметический,33.0,Казань,3,5.6,0,1,9,Панельный,1,5699991.0
Косметический,35.0,Казань,3,0.0,1,1,9,Панельный,1,5499970.0
Косметический,32.8,Казань,1,7.5,1,1,9,Панельный,1,5489998.399999999
,37.5,Казань,1,8.0,1,1,9,Панельный,0,5499975.0
Косметический,35.0,Казань,4,8.5,0,1,6,Кирпичный,0,5499970.0
,34.0,Казань,1,9.0,1,1,9,Панельный,0,5349968.0
,34.9,Казань,3,6.0,1,1,9,Панельный,0,5249972.1
,35.2,Казань,4,6.8,1,1,9,Блочный,0,5298972.800000001
,33.4,Казань,4,9.6,0,1,9,Иные,0,5499978.0
,34.0,Казань,1,7.6,0,1,9,Иные,1,5179968.0
Косметический,33.4,Казань,1,9.0,1,1,9,Панельный,1,5249979.0
косметический,31.0,Казань,4,6.0,1,1,5,Панельный,0,5149999.0
Требуется,39.1,Казань,1,8.3,0,1,9,Иные,0,5099969.4
,33.1,Казань,4,8.2,1,1,9,Панельный,0,5499995.3
,34.0,Казань,4,8.0,0,1,10,Панельный,1,5299988.0
,33.4,Казань,1,8.6,1,1,10,Панельный,0,4999980.0
Косметический,30.8,Казань,5,5.9,1,1,5,Панельный,0,5099987.2
,33.6,Казань,1,8.0,1,1,9,Панельный,0,4899988.8
Косметический,40.6,Казань,1,9.4,0,1,9,Иные,0,4898999.0
Косметический,33.6,Казань,1,8.0,0,1,9,Иные,0,4769990.4
Частичный ремонт,33.0,Казань,5,8.5,1,1,9,Панельный,0,5149980.0
косметический,31.0,Казань,4,5.0,1,1,5,Кирпичный,0,4989977.0
косметический,33.3,Казань,1,7.4,0,1,9,Панельный,1,4649978.699999999
,31.4,Казань,5,6.0,0,1,5,Иные,0,4899970.0
,33.3,Казань,1,0.0,0,1,9,Панельный,0,4749978.6
косметический,29.4,Казань,5,6.9,1,1,9,Кирпичный,1,5099988.6
,40.4,Казань,4,8.0,1,1,9,Кирпичный,1,4998974.8
,32.0,Казань,3,6.0,0,1,5,Панельный,0,4789984.0
,30.2,Казань,4,6.0,1,1,5,Кирпичный,0,4799988.0
Косметический,33.4,Казань,5,6.0,1,1,5,Панельный,0,4699981.2
,32.0,Казань,4,6.0,0,1,5,Панельный,0,5080000.0
,32.6,Казань,6,7.0,0,1,9,Кирпичный,0,4849999.8
косметический,30.4,Казань,2,5.5,1,1,5,Панельный,0,4799977.6
,32.0,Казань,5,6.0,0,1,5,Иные,0,4600000.0
Косметический,33.3,Казань,5,6.0,1,1,5,Кирпичный,0,4999995.0
Косметический,32.0,Казань,1,6.0,0,1,5,Панельный,0,4600000.0
Косметический,30.2,Казань,4,6.5,1,1,5,Кирпичный,0,4489985.0
,32.1,Казань,5,0.0,0,1,5,Иные,0,4329969.0
Дизайнерский,30.0,Казань,1,5.0,0,1,5,Панельный,0,4800000.0
косметический,29.0,Казань,7,7.0,1,1,9,Кирпичный,1,4599980.0
