id,offer_views,city,lat,lon,price_sq,area,floor,kitchen_area,bathroom_type,balconies,renovation,is_apartment,rooms,has_gas,house_floors,house_wall_type,lifts,freight_lifts,time_on_foot_to_subway,build_year,urgent,duplicates_count,sale_type,is_auction,all_data.house.ceiling_height,all_data.house.has_garbage_disposer,all_data.is_auction,all_data.object_info.living_area,all_data.object_info.window_view[0].display_name,all_data.object_info.window_view[1].display_name,all_data.object_info.window_view[2].display_name,all_data.object_info.window_view[3].display_name,all_data.object_info.window_view[4].display_name,all_data.object_info.loggias,all_data.legal_options.approve,all_data.legal_options.mortgage,all_data.legal_options.is_individual,all_data.legal_options.is_owner,all_data.legal_options.owner_minors,all_data.legal_options.residence_minors,all_data.object_info.redevelopment,all_data.house.security[0].display_name,all_data.house.security[1].display_name,all_data.house.security[2].display_name,all_data.house.security[3].display_name,all_data.house.parking[0].display_name,all_data.house.parking[1].display_name,all_data.house.parking[2].display_name,all_data.house.parking[3].display_name,all_data.house.parking[4].display_name,all_data.house.yard[0].display_name,all_data.house.yard[1].display_name,all_data.house.infrastructure[0].display_name,all_data.house.infrastructure[1].display_name,all_data.house.infrastructure[2].display_name,all_data.house.infrastructure[3].display_name,all_data.house.infrastructure[4].display_name,all_data.legal_options.years_ownership.display_name,all_data.legal_options.owner_count,all_data.object_info.garage_type.display_name
1756876022,719,Москва,"55,793379","37,820142",366666,"16,5",6,2,None,0,Евро,True,0,False,6,Кирпичный,1,0,17,1953,False,0,Свободная продажа,False,"2,5",,false,10,Двор,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,
1791853556,1722,Москва,"55,742448","37,707521",298084,"26,1",2,5,None,0,Евро,True,1,None,10,Монолитный,1,1,16,1975,False,0,Свободная продажа,False,,,false,17,Улица,,,,,0,true,true,,,,,,,,,,Наземная,,,,,Детская площадка,Спортивная площадка,,,,,,,,Наземная парковка
1826286745,708,Москва,"55,667361","37,752993",283582,"26,8",8,6,None,0,Евро,False,1,None,9,Панельный,1,0,16,1980,False,0,Свободная продажа,False,,false,false,"14,8",Двор,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,
1895742335,0,Москва,"55,796977","37,644351",340909,22,2,4,Совмещенный,0,Евро,True,1,False,3,Кирпичный,0,0,21,1917,False,0,Свободная продажа,False,3,false,false,17,Двор,Парк,,,,,true,,false,false,false,false,false,Закрытая территория,Консьерж,,,Во дворе,Охраняемая,Со шлагбаумом,,,,,,,,,,От трех до пяти,1,
1914403325,0,Москва,"55,627656","37,620501",231250,32,3,5,None,0,Евро,True,1,False,6,Панельный,1,0,15,,False,0,Свободная продажа,False,"4,5",,false,14,Улица,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,
1900677506,0,Москва,"55,868536","37,497063",380000,20,4,5,None,0,евроремонт,False,1,None,4,Кирпично-монолитный,0,0,19,1956,False,1,Свободная продажа,False,,,false,12,,,,,,,true,false,,,,,,,,,,,,,,,,,,,,,,,,
1899153393,0,Москва,"55,87445","37,688997",436046,"17,2",3,2,Совмещенный,0,Евро,False,1,False,5,Кирпичный,0,0,24,1963,False,0,Свободная продажа,False,"2,6",false,false,13,Двор,Парк,,,,,true,,true,false,,,true,Домофон,,,,Во дворе,,,,,Детская площадка,Спортивная площадка,Школа,Детский сад,Торговый центр,Парк,Фитнес,Меньше трех,1,
1791863152,134,Москва,"55,703084","37,45416",397222,18,2,3,None,1,Евро,None,0,None,9,Кирпичный,1,0,18,1978,False,0,Свободная продажа,False,"2,6",,false,10,Улица,,,,,0,true,true,,,,,,,,,,Наземная,,,,,Детская площадка,Спортивная площадка,,,,,,,,Наземная парковка
1816788547,242,Москва,"55,653243","37,381944",323000,"21,8",1,0,None,0,евроремонт,True,0,True,14,Железобетон,0,0,11,1978,False,0,,False,,true,false,"18,5",,,,,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,
1802828369,134,Москва,"55,703084","37,45416",360256,"19,5",3,3,None,0,Евро,None,0,None,9,Панельный,1,0,18,1971,False,0,Свободная продажа,False,"2,6",,false,13,Улица,,,,,0,true,true,,,,,,,,,,Наземная,,,,,Детская площадка,Спортивная площадка,,,,,,,,Наземная парковка
